Vessel	branches from
ID	SC 'connected to' some %
VCCF:1000058	VCCF:1000044
VCCF:1000059	VCCF:1000058
VCCF:1000060	VCCF:1000044
VCCF:1000061	VCCF:1000044
VCCF:1000062	VCCF:1000044
VCCF:1000063	VCCF:1000044
VCCF:1000064	VCCF:1000044
VCCF:1000065	VCCF:1000044
VCCF:1000066	VCCF:1000044
VCCF:1000067	VCCF:1000066
VCCF:1000068	VCCF:1000066
VCCF:1000069	VCCF:1000017
VCCF:1000070	VCCF:1000069
VCCF:1000071	VCCF:1000069
VCCF:1000072	VCCF:1000069
VCCF:1000073	VCCF:1000069
VCCF:1000074	VCCF:1000069
VCCF:1000075	VCCF:1000069
VCCF:1000076	VCCF:1000069
VCCF:1000077	VCCF:1000017
VCCF:1000078	VCCF:1000077
VCCF:1000079	VCCF:1000077
VCCF:1000080	VCCF:1000077
VCCF:1000081	VCCF:1000077
VCCF:1000082	VCCF:1000077
VCCF:1000083	VCCF:1000077
VCCF:1000084	VCCF:1000017
VCCF:1000085	VCCF:1000084
VCCF:1000086	VCCF:1000084
VCCF:1000087	VCCF:1000084
VCCF:1000088	VCCF:1000084
VCCF:1000089	VCCF:1000084
VCCF:1000090	VCCF:1000084
VCCF:1000091	VCCF:1000017
VCCF:1000092	VCCF:1000091
VCCF:1000093	VCCF:1000091
VCCF:1000094	VCCF:1000091
VCCF:1000095	VCCF:1000091
VCCF:1000096	VCCF:1000016
VCCF:1000097	VCCF:1000096
VCCF:1000098	VCCF:1000097
VCCF:1000099	VCCF:1000097
VCCF:1000100	VCCF:1000097
VCCF:1000101	VCCF:1000097
VCCF:1000102	VCCF:1000097
VCCF:1000103	VCCF:1000097
VCCF:1000104	VCCF:1000097
VCCF:1000105	VCCF:1000097
VCCF:1000106	VCCF:1000097
VCCF:1000107	VCCF:1000097
VCCF:1000108	VCCF:1000097
VCCF:1000109	VCCF:1000097
VCCF:1000110	VCCF:1000097
VCCF:1000111	VCCF:1000096
VCCF:1000112	VCCF:1000096
VCCF:1000113	VCCF:1000096
VCCF:1000114	VCCF:1000113
VCCF:1000115	VCCF:1000114
VCCF:1000116	VCCF:1000114
VCCF:1000117	VCCF:1000096
VCCF:1000118	VCCF:1000096
VCCF:1000119	VCCF:1000118
VCCF:1000120	VCCF:1000119
VCCF:1000121	VCCF:1000120
VCCF:1000122	VCCF:1000096
VCCF:1000123	VCCF:1000122
VCCF:1000124	VCCF:1000122
VCCF:1000125	VCCF:1000122
VCCF:1000126	VCCF:1000122
VCCF:1000127	VCCF:1000122
VCCF:1000128	VCCF:1000122
VCCF:1000129	VCCF:1000122
VCCF:1000130	VCCF:1000122
VCCF:1000131	VCCF:1000122
VCCF:1000132	VCCF:1000122
VCCF:1000133	VCCF:1000122
VCCF:1000134	VCCF:1000096
VCCF:1000135	VCCF:1000134
VCCF:1000136	VCCF:1000134
VCCF:1000137	VCCF:1000136
VCCF:1000138	VCCF:1000134
VCCF:1000139	VCCF:1000134
VCCF:1000140	VCCF:1000134
VCCF:1000141	VCCF:1000134
VCCF:1000142	VCCF:1000141
VCCF:1000143	VCCF:1000141
VCCF:1000144	VCCF:1000141
VCCF:1000145	VCCF:1000141
VCCF:1000146	VCCF:1000134
VCCF:1000147	VCCF:1000134
VCCF:1000148	VCCF:1000134
VCCF:1000149	VCCF:1000134
VCCF:1000150	VCCF:1000149
VCCF:1000151	VCCF:1000134
VCCF:1000152	VCCF:1000134
VCCF:1000153	VCCF:1000096
VCCF:1000154	VCCF:1000096
VCCF:1000155	VCCF:1000154
VCCF:1000156	VCCF:1000155
VCCF:1000157	VCCF:1000156
VCCF:1000121	VCCF:1000157
VCCF:1000158	VCCF:1000012
VCCF:1000159	VCCF:1000158
VCCF:1000160	VCCF:1000159
VCCF:1000161	VCCF:1000160
VCCF:1000162	VCCF:1000161
VCCF:1000163	VCCF:1000162
VCCF:1000164	VCCF:1000163
VCCF:1000165	VCCF:1000163
VCCF:1000166	VCCF:1000163
VCCF:1000167	VCCF:1000166
VCCF:1000168	VCCF:1000166
VCCF:1000169	VCCF:1000163
VCCF:1000170	VCCF:1000162
VCCF:1000171	VCCF:1000170
VCCF:1000172	VCCF:1000171
VCCF:1000173	VCCF:1000171
VCCF:1000174	VCCF:1000171
VCCF:1000175	VCCF:1000171
VCCF:1000176	VCCF:1000171
VCCF:1000177	VCCF:1000176
VCCF:1000178	VCCF:1000170
VCCF:1000179	VCCF:1000178
VCCF:1000180	VCCF:1000179
VCCF:1000181	VCCF:1000179
VCCF:1000182	VCCF:1000178
VCCF:1000183	VCCF:1000178
VCCF:1000184	VCCF:1000183
VCCF:1000185	VCCF:1000183
VCCF:1000186	VCCF:1000178
VCCF:1000187	VCCF:1000162
VCCF:1000188	VCCF:1000161
VCCF:1000189	VCCF:1000188
VCCF:1000190	VCCF:1000161
VCCF:1000191	VCCF:1000190
VCCF:1000192	VCCF:1000190
VCCF:1000193	VCCF:1000192
VCCF:1000194	VCCF:1000190
VCCF:1000195	VCCF:1000190
VCCF:1000196	VCCF:1000190
VCCF:1000197	VCCF:1000190
VCCF:1000198	VCCF:1000197
VCCF:1000199	VCCF:1000198
VCCF:1000200	VCCF:1000199
VCCF:1000201	VCCF:1000200
VCCF:1000202	VCCF:1000200
VCCF:1000203	VCCF:1000190
VCCF:1000204	VCCF:1000203
VCCF:1000205	VCCF:1000204
VCCF:1000206	VCCF:1000205
VCCF:1000207	VCCF:1000206
VCCF:1000208	VCCF:1000206
VCCF:1000209	VCCF:1000208
VCCF:1000210	VCCF:1000206
VCCF:1000211	VCCF:1000206
VCCF:1000212	VCCF:1000205
VCCF:1000213	VCCF:1000212
VCCF:1000214	VCCF:1000213
VCCF:1000215	VCCF:1000204
VCCF:1000216	VCCF:1000215
VCCF:1000217	VCCF:1000216
VCCF:1000218	VCCF:1000215
VCCF:1000219	VCCF:1000218
VCCF:1000220	VCCF:1000190
VCCF:1000221	VCCF:1000190
VCCF:1000222	VCCF:1000160
VCCF:1000223	VCCF:1000222
VCCF:1000224	VCCF:1000223
VCCF:1000225	VCCF:1000224
VCCF:1000226	VCCF:1000224
VCCF:1000227	VCCF:1000226
VCCF:1000228	VCCF:1000227
VCCF:1000229	VCCF:1000227
VCCF:1000230	VCCF:1000226
VCCF:1000231	VCCF:1000230
VCCF:1000232	VCCF:1000230
VCCF:1000233	VCCF:1000226
VCCF:1000234	VCCF:1000224
VCCF:1000235	VCCF:1000224
VCCF:1000236	VCCF:1000224
VCCF:1000237	VCCF:1000224
VCCF:1000238	VCCF:1000237
VCCF:1000239	VCCF:1000238
VCCF:1000240	VCCF:1000238
VCCF:1000241	VCCF:1000237
VCCF:1000242	VCCF:1000241
VCCF:1000243	VCCF:1000242
VCCF:1000244	VCCF:1000243
VCCF:1000245	VCCF:1000242
VCCF:1000246	VCCF:1000242
VCCF:1000247	VCCF:1000242
VCCF:1000248	VCCF:1000247
VCCF:1000249	VCCF:1000248
VCCF:1000250	VCCF:1000249
VCCF:1000251	VCCF:1000249
VCCF:1000252	VCCF:1000249
VCCF:1000253	VCCF:1000248
VCCF:1000254	VCCF:1000253
VCCF:1000255	VCCF:1000253
VCCF:1000256	VCCF:1000248
VCCF:1000257	VCCF:1000256
VCCF:1000258	VCCF:1000256
VCCF:1000259	VCCF:1000247
VCCF:1000260	VCCF:1000247
VCCF:1000261	VCCF:1000260
VCCF:1000262	VCCF:1000260
VCCF:1000263	VCCF:1000260
VCCF:1000264	VCCF:1000247
VCCF:1000265	VCCF:1000247
VCCF:1000266	VCCF:1000242
VCCF:1000267	VCCF:1000242
VCCF:1000268	VCCF:1000241
VCCF:1000269	VCCF:1000241
VCCF:1000270	VCCF:1000241
VCCF:1000271	VCCF:1000241
